Zeit; Event; Ursache; Info
2018-10-19 15:14:18;Aus Standbymodus aufgeweckt;;
2018-10-19 15:40:58;In Standbymodus versetzt;System idle;
2018-10-19 15:43:49;Aus Standbymodus aufgeweckt;;
2018-10-19 16:10:54;In Standbymodus versetzt;Application API;
2018-10-19 16:30:38;Aus Standbymodus aufgeweckt;;
2018-10-19 16:36:46;In Standbymodus versetzt;Application API;
2018-10-19 18:25:19;Aus Standbymodus aufgeweckt;;
2018-10-19 18:44:18;In Standbymodus versetzt;Application API;
2018-10-19 19:13:35;Aus Standbymodus aufgeweckt;;
2018-10-19 19:13:44;In Standbymodus versetzt;Application API;
2018-10-19 19:19:33;Aus Standbymodus aufgeweckt;;
2018-10-19 19:24:50;In Standbymodus versetzt;Application API;
2018-10-19 21:34:30;Aus Standbymodus aufgeweckt;;
2018-10-19 21:35:15;In Standbymodus versetzt;Application API;
2018-10-20 06:32:38;Aus Standbymodus aufgeweckt;;
2018-10-20 07:03:00;In Standbymodus versetzt;Application API;
2018-10-20 09:18:32;Aus Standbymodus aufgeweckt;;
2018-10-20 09:41:00;In Standbymodus versetzt;System idle;
2018-10-20 10:52:39;Aus Standbymodus aufgeweckt;;
2018-10-20 11:05:12;In Standbymodus versetzt;Application API;
2018-10-20 14:42:59;Aus Standbymodus aufgeweckt;;
2018-10-20 14:57:23;In Standbymodus versetzt;System idle;
2018-10-20 15:02:24;Aus Standbymodus aufgeweckt;;
2018-10-20 15:30:58;In Standbymodus versetzt;Application API;
2018-10-20 15:50:35;Aus Standbymodus aufgeweckt;;
2018-10-20 15:52:02;In Standbymodus versetzt;Application API;
2018-10-20 17:03:44;Aus Standbymodus aufgeweckt;;
2018-10-20 17:25:09;In Standbymodus versetzt;Application API;
2018-10-20 19:06:07;Aus Standbymodus aufgeweckt;;
2018-10-20 19:08:38;In Standbymodus versetzt;Application API;
2018-10-20 19:09:48;Aus Standbymodus aufgeweckt;;
2018-10-20 19:14:58;In Standbymodus versetzt;Application API;
2018-10-20 21:25:56;Aus Standbymodus aufgeweckt;;
2018-10-20 21:26:18;In Standbymodus versetzt;Application API;
2018-10-20 21:32:10;Aus Standbymodus aufgeweckt;;
2018-10-20 21:36:35;In Standbymodus versetzt;Application API;
2018-10-20 21:47:41;Aus Standbymodus aufgeweckt;;
2018-10-20 21:54:06;In Standbymodus versetzt;Application API;
2018-10-21 06:24:58;Aus Standbymodus aufgeweckt;;
2018-10-21 07:14:34;In Standbymodus versetzt;Application API;
2018-10-21 08:56:25;Aus Standbymodus aufgeweckt;;
2018-10-21 09:03:16;In Standbymodus versetzt;Application API;
2018-10-21 09:27:08;Aus Standbymodus aufgeweckt;;
2018-10-21 09:42:25;In Standbymodus versetzt;Application API;
2018-10-21 10:43:50;Aus Standbymodus aufgeweckt;;
2018-10-21 10:52:27;In Standbymodus versetzt;System idle;
2018-10-21 10:53:22;Aus Standbymodus aufgeweckt;;
2018-10-21 10:55:04;In Standbymodus versetzt;Application API;
2018-10-21 12:23:23;Aus Standbymodus aufgeweckt;;
2018-10-21 12:31:49;In Standbymodus versetzt;Application API;
2018-10-21 13:04:17;Aus Standbymodus aufgeweckt;;
2018-10-21 13:05:55;In Standbymodus versetzt;Application API;
2018-10-21 15:55:05;Aus Standbymodus aufgeweckt;;
2018-10-21 16:06:18;In Standbymodus versetzt;Application API;
2018-10-21 16:33:45;Aus Standbymodus aufgeweckt;;
2018-10-21 16:43:48;In Standbymodus versetzt;Application API;
2018-10-21 18:34:29;Aus Standbymodus aufgeweckt;;
2018-10-21 19:03:26;In Standbymodus versetzt;Application API;
2018-10-21 19:55:21;Aus Standbymodus aufgeweckt;;
2018-10-21 20:00:15;In Standbymodus versetzt;Application API;
2018-10-22 06:39:44;Aus Standbymodus aufgeweckt;;
2018-10-22 07:08:19;Heruntergefahren;;
2018-10-22 07:09:30;Start;;
2018-10-22 07:10:43;In Standbymodus versetzt;Application API;
2018-10-22 08:43:06;Aus Standbymodus aufgeweckt;;
2018-10-22 08:56:17;In Standbymodus versetzt;Application API;
2018-10-22 10:11:41;Aus Standbymodus aufgeweckt;;
2018-10-22 10:14:54;In Standbymodus versetzt;Application API;
2018-10-22 10:51:39;Aus Standbymodus aufgeweckt;;
2018-10-22 11:23:48;In Standbymodus versetzt;Application API;
2018-10-22 14:34:52;Aus Standbymodus aufgeweckt;;
2018-10-22 14:49:02;In Standbymodus versetzt;System idle;
2018-10-22 14:59:12;Aus Standbymodus aufgeweckt;;
2018-10-22 16:13:51;In Standbymodus versetzt;Application API;
2018-10-22 16:35:56;Aus Standbymodus aufgeweckt;;
2018-10-22 16:59:07;In Standbymodus versetzt;Application API;
2018-10-22 17:02:51;Aus Standbymodus aufgeweckt;;
2018-10-22 17:05:35;In Standbymodus versetzt;Application API;
2018-10-22 17:07:15;Aus Standbymodus aufgeweckt;;
2018-10-22 17:11:21;In Standbymodus versetzt;Application API;
2018-10-22 18:31:18;Aus Standbymodus aufgeweckt;;
2018-10-22 18:32:45;In Standbymodus versetzt;Application API;
2018-10-22 19:29:31;Aus Standbymodus aufgeweckt;;
2018-10-22 19:29:41;In Standbymodus versetzt;Application API;
2018-10-22 21:31:02;Aus Standbymodus aufgeweckt;;
2018-10-22 21:31:19;In Standbymodus versetzt;Application API;
2018-10-23 06:29:37;Aus Standbymodus aufgeweckt;;
2018-10-23 07:12:36;In Standbymodus versetzt;Application API;
2018-10-23 09:25:50;Aus Standbymodus aufgeweckt;;
2018-10-23 09:56:49;In Standbymodus versetzt;Application API;
2018-10-23 09:57:04;Aus Standbymodus aufgeweckt;;
2018-10-23 10:00:45;In Standbymodus versetzt;System idle;
2018-10-23 11:44:58;Aus Standbymodus aufgeweckt;;
2018-10-23 11:50:03;In Standbymodus versetzt;Application API;
2018-10-23 12:43:26;Aus Standbymodus aufgeweckt;;
2018-10-23 12:44:26;In Standbymodus versetzt;Application API;
2018-10-23 14:43:17;Aus Standbymodus aufgeweckt;;
2018-10-23 14:58:09;In Standbymodus versetzt;System idle;
2018-10-23 15:09:17;Aus Standbymodus aufgeweckt;;
2018-10-23 15:26:15;In Standbymodus versetzt;Application API;
2018-10-23 15:46:36;Aus Standbymodus aufgeweckt;;
2018-10-23 15:54:15;In Standbymodus versetzt;Application API;
2018-10-23 15:59:53;Aus Standbymodus aufgeweckt;;
2018-10-23 16:40:10;In Standbymodus versetzt;System idle;
2018-10-23 16:59:01;Aus Standbymodus aufgeweckt;;
2018-10-23 17:03:39;In Standbymodus versetzt;Application API;
2018-10-23 17:53:56;Aus Standbymodus aufgeweckt;;
2018-10-23 18:09:28;In Standbymodus versetzt;Application API;
2018-10-23 21:26:43;Aus Standbymodus aufgeweckt;;
2018-10-23 21:27:33;In Standbymodus versetzt;Application API;
2018-10-24 06:27:14;Aus Standbymodus aufgeweckt;;
2018-10-24 07:05:58;In Standbymodus versetzt;Application API;
2018-10-24 10:01:54;Aus Standbymodus aufgeweckt;;
2018-10-24 10:03:51;In Standbymodus versetzt;Application API;
2018-10-24 10:47:51;Aus Standbymodus aufgeweckt;;
2018-10-24 11:21:18;In Standbymodus versetzt;Application API;
2018-10-24 11:32:05;Aus Standbymodus aufgeweckt;;
2018-10-24 11:39:14;In Standbymodus versetzt;Application API;
2018-10-24 11:39:27;Aus Standbymodus aufgeweckt;;
2018-10-24 11:40:34;In Standbymodus versetzt;Application API;
2018-10-24 11:44:12;Aus Standbymodus aufgeweckt;;
2018-10-24 11:45:02;In Standbymodus versetzt;Application API;
2018-10-24 11:52:50;Aus Standbymodus aufgeweckt;;
2018-10-24 12:04:05;In Standbymodus versetzt;Application API;
2018-10-24 12:21:30;Aus Standbymodus aufgeweckt;;
2018-10-24 12:39:22;In Standbymodus versetzt;Application API;
2018-10-24 12:47:09;Aus Standbymodus aufgeweckt;;
2018-10-24 12:50:16;In Standbymodus versetzt;Application API;
2018-10-24 14:19:03;Aus Standbymodus aufgeweckt;;
2018-10-24 14:48:44;In Standbymodus versetzt;System idle;
2018-10-24 14:58:55;Aus Standbymodus aufgeweckt;;
2018-10-24 15:12:22;In Standbymodus versetzt;System idle;
2018-10-24 15:12:35;Aus Standbymodus aufgeweckt;;
2018-10-24 15:27:57;In Standbymodus versetzt;Application API;
2018-10-24 15:58:12;Aus Standbymodus aufgeweckt;;
2018-10-24 16:19:32;In Standbymodus versetzt;Application API;
2018-10-24 16:22:11;Aus Standbymodus aufgeweckt;;
2018-10-24 16:25:04;In Standbymodus versetzt;Application API;
2018-10-24 16:45:55;Aus Standbymodus aufgeweckt;;
2018-10-24 16:52:14;In Standbymodus versetzt;Application API;
2018-10-24 17:22:10;Aus Standbymodus aufgeweckt;;
2018-10-24 17:30:33;In Standbymodus versetzt;Application API;
2018-10-24 18:05:14;Aus Standbymodus aufgeweckt;;
2018-10-24 18:14:29;In Standbymodus versetzt;Application API;
2018-10-24 18:51:38;Aus Standbymodus aufgeweckt;;
2018-10-24 18:54:18;In Standbymodus versetzt;Application API;
2018-10-24 18:56:27;Aus Standbymodus aufgeweckt;;
2018-10-24 19:00:19;In Standbymodus versetzt;Application API;
2018-10-24 21:18:45;Aus Standbymodus aufgeweckt;;
2018-10-24 21:19:06;In Standbymodus versetzt;Application API;
2018-10-25 06:29:34;Aus Standbymodus aufgeweckt;;
2018-10-25 07:08:47;In Standbymodus versetzt;Application API;
2018-10-25 08:13:59;Aus Standbymodus aufgeweckt;;
2018-10-25 08:15:14;In Standbymodus versetzt;Application API;
2018-10-25 08:17:47;Aus Standbymodus aufgeweckt;;
2018-10-25 08:24:10;In Standbymodus versetzt;Application API;
2018-10-25 09:02:20;Aus Standbymodus aufgeweckt;;
2018-10-25 09:09:32;In Standbymodus versetzt;Application API;
2018-10-25 09:12:16;Aus Standbymodus aufgeweckt;;
2018-10-25 09:28:13;In Standbymodus versetzt;Application API;
2018-10-25 10:24:45;Aus Standbymodus aufgeweckt;;
2018-10-25 10:43:37;In Standbymodus versetzt;Application API;
2018-10-25 12:49:54;Aus Standbymodus aufgeweckt;;
2018-10-25 12:50:48;In Standbymodus versetzt;Application API;
2018-10-25 14:40:58;Aus Standbymodus aufgeweckt;;
2018-10-25 15:26:06;In Standbymodus versetzt;Application API;
2018-10-25 15:47:54;Aus Standbymodus aufgeweckt;;
2018-10-25 15:51:06;In Standbymodus versetzt;Application API;
2018-10-25 16:28:16;Aus Standbymodus aufgeweckt;;
2018-10-25 16:53:56;In Standbymodus versetzt;Application API;
2018-10-25 18:16:22;Aus Standbymodus aufgeweckt;;
2018-10-25 18:17:15;In Standbymodus versetzt;Application API;
2018-10-25 18:21:12;Aus Standbymodus aufgeweckt;;
2018-10-25 18:24:54;In Standbymodus versetzt;Application API;
2018-10-25 18:55:59;Aus Standbymodus aufgeweckt;;
2018-10-25 19:14:55;In Standbymodus versetzt;Application API;
2018-10-25 19:44:28;Aus Standbymodus aufgeweckt;;
2018-10-25 19:49:27;In Standbymodus versetzt;Application API;
2018-10-25 21:15:23;Aus Standbymodus aufgeweckt;;
2018-10-25 21:15:45;In Standbymodus versetzt;Application API;
2018-10-26 06:20:31;Aus Standbymodus aufgeweckt;;
2018-10-26 07:10:15;In Standbymodus versetzt;Application API;
2018-10-26 12:10:32;Aus Standbymodus aufgeweckt;;
2018-10-26 12:20:47;In Standbymodus versetzt;Application API;
2018-10-26 12:51:15;Aus Standbymodus aufgeweckt;;
2018-10-26 12:55:48;In Standbymodus versetzt;Application API;
2018-10-26 14:00:41;Aus Standbymodus aufgeweckt;;
2018-10-26 15:13:48;In Standbymodus versetzt;Application API;
2018-10-26 16:08:12;Aus Standbymodus aufgeweckt;;
2018-10-26 16:08:42;In Standbymodus versetzt;Application API;
2018-10-26 16:30:01;Aus Standbymodus aufgeweckt;;
2018-10-26 16:32:52;In Standbymodus versetzt;Application API;
2018-10-26 17:20:16;Aus Standbymodus aufgeweckt;;
2018-10-26 17:34:54;In Standbymodus versetzt;Application API;
2018-10-26 21:45:00;Aus Standbymodus aufgeweckt;;
2018-10-26 21:45:29;In Standbymodus versetzt;Application API;
2018-10-27 06:23:34;Aus Standbymodus aufgeweckt;;
2018-10-27 07:10:50;In Standbymodus versetzt;Application API;
2018-10-27 09:14:10;Aus Standbymodus aufgeweckt;;
2018-10-27 09:19:42;In Standbymodus versetzt;System idle;
2018-10-27 09:52:19;Aus Standbymodus aufgeweckt;;
2018-10-27 10:07:50;In Standbymodus versetzt;Application API;
2018-10-27 10:21:27;Aus Standbymodus aufgeweckt;;
2018-10-27 10:25:33;In Standbymodus versetzt;Application API;
2018-10-27 10:34:37;Aus Standbymodus aufgeweckt;;
2018-10-27 10:46:14;In Standbymodus versetzt;Application API;
2018-10-27 10:49:34;Aus Standbymodus aufgeweckt;;
2018-10-27 10:58:55;In Standbymodus versetzt;Application API;
2018-10-27 11:03:07;Aus Standbymodus aufgeweckt;;
2018-10-27 11:07:47;In Standbymodus versetzt;Application API;
2018-10-27 13:30:15;Aus Standbymodus aufgeweckt;;
2018-10-27 13:31:11;In Standbymodus versetzt;Application API;
2018-10-27 14:55:08;Aus Standbymodus aufgeweckt;;
2018-10-27 15:32:18;In Standbymodus versetzt;System idle;
2018-10-27 15:36:57;Aus Standbymodus aufgeweckt;;
2018-10-27 16:01:17;In Standbymodus versetzt;Application API;
2018-10-27 16:29:13;Aus Standbymodus aufgeweckt;;
2018-10-27 17:20:29;In Standbymodus versetzt;Application API;
2018-10-27 19:17:13;Aus Standbymodus aufgeweckt;;
2018-10-27 19:22:53;In Standbymodus versetzt;Application API;
2018-10-27 21:24:47;Aus Standbymodus aufgeweckt;;
2018-10-27 21:25:26;In Standbymodus versetzt;Application API;
2018-10-28 05:36:46;Aus Standbymodus aufgeweckt;;
2018-10-28 07:10:14;In Standbymodus versetzt;Application API;
2018-10-28 08:56:47;Aus Standbymodus aufgeweckt;;
2018-10-28 08:59:12;In Standbymodus versetzt;System idle;
2018-10-28 10:21:43;Aus Standbymodus aufgeweckt;;
2018-10-28 10:40:10;Heruntergefahren;;
2018-10-28 10:40:24;Start;;
2018-10-28 11:09:27;In Standbymodus versetzt;System idle;
2018-10-28 14:28:45;Aus Standbymodus aufgeweckt;;
2018-10-28 14:53:59;In Standbymodus versetzt;Application API;
2018-10-28 15:49:42;Aus Standbymodus aufgeweckt;;
2018-10-28 16:09:51;In Standbymodus versetzt;System idle;
2018-10-28 18:06:15;Aus Standbymodus aufgeweckt;;
2018-10-28 18:06:59;In Standbymodus versetzt;Application API;
2018-10-28 19:02:55;Aus Standbymodus aufgeweckt;;
2018-10-28 19:10:33;In Standbymodus versetzt;Application API;
2018-10-28 20:20:31;Aus Standbymodus aufgeweckt;;
2018-10-28 20:20:39;In Standbymodus versetzt;Application API;
2018-10-29 06:59:41;Aus Standbymodus aufgeweckt;;
2018-10-29 07:10:02;In Standbymodus versetzt;Application API;
2018-10-29 10:34:34;Aus Standbymodus aufgeweckt;;
2018-10-29 11:06:59;Heruntergefahren;;
2018-10-29 11:07:20;Start;;
2018-10-29 11:16:43;In Standbymodus versetzt;Application API;
2018-10-29 11:38:07;Aus Standbymodus aufgeweckt;;
2018-10-29 11:43:54;In Standbymodus versetzt;Application API;
2018-10-29 13:20:54;Aus Standbymodus aufgeweckt;;
2018-10-29 13:21:48;In Standbymodus versetzt;Application API;
2018-10-29 14:56:03;Aus Standbymodus aufgeweckt;;
2018-10-29 15:09:36;In Standbymodus versetzt;Application API;
2018-10-29 16:08:08;Aus Standbymodus aufgeweckt;;
2018-10-29 16:46:58;In Standbymodus versetzt;System idle;
2018-10-29 22:53:44;Aus Standbymodus aufgeweckt;;
2018-10-29 22:55:06;In Standbymodus versetzt;Application API;
2018-10-30 06:35:31;Aus Standbymodus aufgeweckt;;
2018-10-30 07:07:49;In Standbymodus versetzt;Application API;
2018-10-30 08:57:27;Aus Standbymodus aufgeweckt;;
2018-10-30 09:17:38;In Standbymodus versetzt;System idle;
2018-10-30 11:52:50;Aus Standbymodus aufgeweckt;;
2018-10-30 11:55:25;In Standbymodus versetzt;Application API;
2018-10-30 14:40:22;Aus Standbymodus aufgeweckt;;
2018-10-30 14:57:43;In Standbymodus versetzt;System idle;
2018-10-30 14:59:56;Aus Standbymodus aufgeweckt;;
2018-10-30 15:15:52;In Standbymodus versetzt;System idle;
2018-10-30 15:34:57;Aus Standbymodus aufgeweckt;;
2018-10-30 15:47:47;In Standbymodus versetzt;Application API;
2018-10-30 16:56:47;Aus Standbymodus aufgeweckt;;
2018-10-30 17:08:54;In Standbymodus versetzt;Application API;
2018-10-30 18:42:20;Aus Standbymodus aufgeweckt;;
2018-10-30 19:10:53;In Standbymodus versetzt;Application API;
2018-10-30 21:42:49;Aus Standbymodus aufgeweckt;;
2018-10-30 21:43:31;In Standbymodus versetzt;Application API;
2018-10-31 06:32:10;Aus Standbymodus aufgeweckt;;
2018-10-31 07:05:24;In Standbymodus versetzt;Application API;
2018-10-31 09:01:10;Aus Standbymodus aufgeweckt;;
2018-10-31 09:01:52;In Standbymodus versetzt;Application API;
2018-10-31 09:32:13;Aus Standbymodus aufgeweckt;;
2018-10-31 09:34:20;In Standbymodus versetzt;System idle;
2018-10-31 09:34:29;Aus Standbymodus aufgeweckt;;
2018-10-31 09:36:48;In Standbymodus versetzt;Application API;
2018-10-31 11:15:02;Aus Standbymodus aufgeweckt;;
2018-10-31 11:21:04;In Standbymodus versetzt;Application API;
2018-10-31 15:29:21;Aus Standbymodus aufgeweckt;;
2018-10-31 16:10:11;In Standbymodus versetzt;Application API;
2018-10-31 16:47:45;Aus Standbymodus aufgeweckt;;
2018-10-31 16:51:58;In Standbymodus versetzt;Application API;
2018-10-31 17:19:49;Aus Standbymodus aufgeweckt;;
2018-10-31 17:34:47;In Standbymodus versetzt;Application API;
2018-10-31 21:33:02;Aus Standbymodus aufgeweckt;;
2018-10-31 21:35:49;In Standbymodus versetzt;Application API;
2018-11-01 06:15:30;Aus Standbymodus aufgeweckt;;
2018-11-01 07:08:20;In Standbymodus versetzt;Application API;
2018-11-01 09:17:32;Aus Standbymodus aufgeweckt;;
2018-11-01 09:44:10;In Standbymodus versetzt;Application API;
2018-11-01 10:16:25;Aus Standbymodus aufgeweckt;;
2018-11-01 10:24:48;In Standbymodus versetzt;Application API;
2018-11-01 12:01:00;Aus Standbymodus aufgeweckt;;
2018-11-01 12:24:45;In Standbymodus versetzt;Application API;
2018-11-01 13:45:32;Aus Standbymodus aufgeweckt;;
2018-11-01 13:49:09;In Standbymodus versetzt;Application API;
2018-11-01 14:48:45;Aus Standbymodus aufgeweckt;;
2018-11-01 15:10:04;In Standbymodus versetzt;System idle;
2018-11-01 15:32:53;Aus Standbymodus aufgeweckt;;
2018-11-01 15:54:59;In Standbymodus versetzt;Application API;
2018-11-01 16:06:50;Aus Standbymodus aufgeweckt;;
2018-11-01 16:26:17;In Standbymodus versetzt;Application API;
2018-11-01 16:31:00;Aus Standbymodus aufgeweckt;;
2018-11-01 16:47:03;In Standbymodus versetzt;Application API;
2018-11-01 17:05:42;Aus Standbymodus aufgeweckt;;
2018-11-01 17:10:23;In Standbymodus versetzt;Application API;
2018-11-01 19:58:49;Aus Standbymodus aufgeweckt;;
2018-11-01 20:04:44;In Standbymodus versetzt;Application API;
2018-11-01 20:05:03;Aus Standbymodus aufgeweckt;;
2018-11-01 20:05:20;In Standbymodus versetzt;Application API;
2018-11-01 21:30:58;Aus Standbymodus aufgeweckt;;
2018-11-01 21:31:15;In Standbymodus versetzt;Application API;
2018-11-02 06:35:48;Aus Standbymodus aufgeweckt;;
2018-11-02 07:03:06;In Standbymodus versetzt;Application API;
2018-11-02 07:05:42;Aus Standbymodus aufgeweckt;;
2018-11-02 07:11:32;In Standbymodus versetzt;Application API;
2018-11-02 08:14:33;Aus Standbymodus aufgeweckt;;
2018-11-02 08:14:54;In Standbymodus versetzt;Application API;
2018-11-02 08:22:12;Aus Standbymodus aufgeweckt;;
2018-11-02 08:24:37;In Standbymodus versetzt;System idle;
2018-11-02 10:22:23;Aus Standbymodus aufgeweckt;;
2018-11-02 10:30:27;In Standbymodus versetzt;Application API;
2018-11-02 10:36:27;Aus Standbymodus aufgeweckt;;
2018-11-02 10:43:09;In Standbymodus versetzt;Application API;
2018-11-02 14:46:38;Aus Standbymodus aufgeweckt;;
2018-11-02 15:04:47;In Standbymodus versetzt;System idle;
2018-11-02 15:07:08;Aus Standbymodus aufgeweckt;;
2018-11-02 15:26:04;In Standbymodus versetzt;System idle;
2018-11-02 15:43:16;Aus Standbymodus aufgeweckt;;
2018-11-02 15:55:44;In Standbymodus versetzt;Application API;
2018-11-02 17:23:05;Aus Standbymodus aufgeweckt;;
2018-11-02 17:34:14;In Standbymodus versetzt;Application API;
2018-11-02 19:23:58;Aus Standbymodus aufgeweckt;;
2018-11-02 19:29:42;In Standbymodus versetzt;Application API;
2018-11-03 06:19:12;Aus Standbymodus aufgeweckt;;
2018-11-03 07:04:10;In Standbymodus versetzt;Application API;
2018-11-03 10:48:37;Aus Standbymodus aufgeweckt;;
2018-11-03 10:49:08;In Standbymodus versetzt;Application API;
2018-11-03 14:40:58;Aus Standbymodus aufgeweckt;;
2018-11-03 15:03:55;In Standbymodus versetzt;System idle;
2018-11-03 15:10:01;Aus Standbymodus aufgeweckt;;
2018-11-03 15:34:28;In Standbymodus versetzt;System idle;
2018-11-03 15:45:32;Aus Standbymodus aufgeweckt;;
2018-11-03 15:51:51;In Standbymodus versetzt;Application API;
2018-11-03 15:58:00;Aus Standbymodus aufgeweckt;;
2018-11-03 16:01:47;In Standbymodus versetzt;Application API;
2018-11-03 19:32:07;Aus Standbymodus aufgeweckt;;
2018-11-03 19:32:25;In Standbymodus versetzt;Application API;
2018-11-04 06:29:37;Aus Standbymodus aufgeweckt;;
2018-11-04 07:10:27;In Standbymodus versetzt;Application API;
2018-11-04 12:48:35;Aus Standbymodus aufgeweckt;;
2018-11-04 12:51:53;In Standbymodus versetzt;Application API;
2018-11-04 13:05:43;Aus Standbymodus aufgeweckt;;
2018-11-04 16:41:32;In Standbymodus versetzt;Application API;
2018-11-04 17:38:11;Aus Standbymodus aufgeweckt;;
2018-11-04 18:03:16;In Standbymodus versetzt;Application API;
2018-11-04 18:07:22;Aus Standbymodus aufgeweckt;;
2018-11-04 18:11:18;Heruntergefahren;;
2018-11-04 18:11:40;Start;;
2018-11-04 18:27:25;In Standbymodus versetzt;Application API;
2018-11-05 06:32:41;Aus Standbymodus aufgeweckt;;
2018-11-05 07:12:13;In Standbymodus versetzt;Application API;
2018-11-05 07:12:20;Aus Standbymodus aufgeweckt;;
2018-11-05 07:12:28;In Standbymodus versetzt;Application API;
2018-11-05 10:38:16;Aus Standbymodus aufgeweckt;;
2018-11-05 10:45:19;In Standbymodus versetzt;Application API;
2018-11-05 10:48:48;Aus Standbymodus aufgeweckt;;
2018-11-05 10:49:08;In Standbymodus versetzt;Application API;
2018-11-05 10:50:11;Aus Standbymodus aufgeweckt;;
2018-11-05 10:54:41;In Standbymodus versetzt;Application API;
2018-11-05 12:47:29;Aus Standbymodus aufgeweckt;;
2018-11-05 12:48:06;In Standbymodus versetzt;Application API;
2018-11-05 14:48:24;Aus Standbymodus aufgeweckt;;
2018-11-05 15:22:12;In Standbymodus versetzt;System idle;
2018-11-05 15:45:26;Aus Standbymodus aufgeweckt;;
2018-11-05 15:58:56;In Standbymodus versetzt;Application API;
2018-11-05 16:15:56;Aus Standbymodus aufgeweckt;;
2018-11-05 16:56:27;In Standbymodus versetzt;Application API;
2018-11-05 18:06:12;Aus Standbymodus aufgeweckt;;
2018-11-05 18:16:06;In Standbymodus versetzt;Application API;
2018-11-05 21:41:31;Aus Standbymodus aufgeweckt;;
2018-11-05 21:41:49;In Standbymodus versetzt;Application API;
2018-11-06 06:31:49;Aus Standbymodus aufgeweckt;;
2018-11-06 07:08:57;In Standbymodus versetzt;Application API;
2018-11-06 08:51:44;Aus Standbymodus aufgeweckt;;
2018-11-06 10:10:45;In Standbymodus versetzt;System idle;
2018-11-06 10:11:32;Aus Standbymodus aufgeweckt;;
2018-11-06 10:15:29;In Standbymodus versetzt;System idle;
2018-11-06 11:54:17;Aus Standbymodus aufgeweckt;;
2018-11-06 11:56:54;In Standbymodus versetzt;Application API;
2018-11-06 14:38:17;Aus Standbymodus aufgeweckt;;
2018-11-06 14:40:39;In Standbymodus versetzt;System idle;
2018-11-06 14:43:01;Aus Standbymodus aufgeweckt;;
2018-11-06 15:06:00;In Standbymodus versetzt;System idle;
2018-11-06 15:09:33;Aus Standbymodus aufgeweckt;;
2018-11-06 16:19:59;In Standbymodus versetzt;Application API;
2018-11-06 16:44:12;Aus Standbymodus aufgeweckt;;
2018-11-06 17:03:39;In Standbymodus versetzt;Application API;
2018-11-06 19:19:25;Aus Standbymodus aufgeweckt;;
2018-11-06 19:27:21;In Standbymodus versetzt;Application API;
2018-11-06 21:27:15;Aus Standbymodus aufgeweckt;;
2018-11-06 21:47:01;In Standbymodus versetzt;Application API;
2018-11-07 06:25:46;Aus Standbymodus aufgeweckt;;
2018-11-07 07:06:48;In Standbymodus versetzt;Application API;
2018-11-07 09:22:24;Aus Standbymodus aufgeweckt;;
2018-11-07 09:30:09;In Standbymodus versetzt;Application API;
2018-11-07 10:27:06;Aus Standbymodus aufgeweckt;;
2018-11-07 10:31:51;In Standbymodus versetzt;Application API;
2018-11-07 11:06:24;Aus Standbymodus aufgeweckt;;
2018-11-07 11:17:41;In Standbymodus versetzt;Application API;
2018-11-07 14:52:00;Aus Standbymodus aufgeweckt;;
2018-11-07 15:06:20;In Standbymodus versetzt;System idle;
2018-11-07 15:11:08;Aus Standbymodus aufgeweckt;;
2018-11-07 15:29:06;In Standbymodus versetzt;System idle;
2018-11-07 15:38:14;Aus Standbymodus aufgeweckt;;
2018-11-07 15:58:08;In Standbymodus versetzt;Application API;
2018-11-07 17:58:10;Aus Standbymodus aufgeweckt;;
2018-11-07 17:58:12;In Standbymodus versetzt;Hibernate from Sleep - Fixed Timeout;
2018-11-07 19:26:18;Aus Standbymodus aufgeweckt;;
2018-11-07 19:26:29;In Standbymodus versetzt;Application API;
2018-11-07 21:22:59;Aus Standbymodus aufgeweckt;;
2018-11-07 21:24:12;In Standbymodus versetzt;Application API;
2018-11-08 06:21:25;Aus Standbymodus aufgeweckt;;
2018-11-08 07:08:09;In Standbymodus versetzt;Application API;
2018-11-08 09:24:59;Aus Standbymodus aufgeweckt;;
2018-11-08 09:42:26;In Standbymodus versetzt;Application API;
2018-11-08 11:42:55;Aus Standbymodus aufgeweckt;;
2018-11-08 11:49:00;In Standbymodus versetzt;Application API;
2018-11-08 12:00:11;Aus Standbymodus aufgeweckt;;
2018-11-08 12:02:08;In Standbymodus versetzt;Application API;
2018-11-08 14:39:00;Aus Standbymodus aufgeweckt;;
2018-11-08 14:54:43;In Standbymodus versetzt;System idle;
2018-11-08 14:57:31;Aus Standbymodus aufgeweckt;;
2018-11-08 15:15:41;In Standbymodus versetzt;Application API;
2018-11-08 16:27:39;Aus Standbymodus aufgeweckt;;
2018-11-08 16:46:35;In Standbymodus versetzt;Application API;
2018-11-08 17:57:42;Aus Standbymodus aufgeweckt;;
2018-11-08 18:00:17;In Standbymodus versetzt;Application API;
2018-11-08 18:27:22;Aus Standbymodus aufgeweckt;;
2018-11-08 18:40:05;In Standbymodus versetzt;Application API;
2018-11-08 21:29:12;Aus Standbymodus aufgeweckt;;
2018-11-08 21:39:19;In Standbymodus versetzt;Application API;
2018-11-09 06:20:15;Aus Standbymodus aufgeweckt;;
2018-11-09 07:11:27;In Standbymodus versetzt;Application API;
2018-11-09 08:04:51;Aus Standbymodus aufgeweckt;;
2018-11-09 08:06:51;In Standbymodus versetzt;System idle;
2018-11-09 08:13:13;Aus Standbymodus aufgeweckt;;
