Zeit; Event; Ursache; Info
2018-10-06 06:30:58;Aus Standbymodus aufgeweckt;;
2018-10-06 07:10:03;In Standbymodus versetzt;Application API;
2018-10-06 08:38:37;Aus Standbymodus aufgeweckt;;
2018-10-06 08:58:39;In Standbymodus versetzt;Application API;
2018-10-06 09:16:02;Aus Standbymodus aufgeweckt;;
2018-10-06 09:59:56;In Standbymodus versetzt;System idle;
2018-10-06 10:08:16;Aus Standbymodus aufgeweckt;;
2018-10-06 10:28:44;In Standbymodus versetzt;System idle;
2018-10-06 11:32:59;Aus Standbymodus aufgeweckt;;
2018-10-06 11:34:30;In Standbymodus versetzt;Application API;
2018-10-06 11:36:38;Aus Standbymodus aufgeweckt;;
2018-10-06 11:37:51;In Standbymodus versetzt;Application API;
2018-10-06 12:28:47;Aus Standbymodus aufgeweckt;;
2018-10-06 12:55:22;In Standbymodus versetzt;Application API;
2018-10-06 13:39:53;Aus Standbymodus aufgeweckt;;
2018-10-06 13:42:57;In Standbymodus versetzt;Application API;
2018-10-06 14:57:43;Aus Standbymodus aufgeweckt;;
2018-10-06 15:26:12;In Standbymodus versetzt;System idle;
2018-10-06 15:46:55;Aus Standbymodus aufgeweckt;;
2018-10-06 16:03:38;In Standbymodus versetzt;Application API;
2018-10-06 19:10:30;Aus Standbymodus aufgeweckt;;
2018-10-06 19:15:17;In Standbymodus versetzt;Application API;
2018-10-06 19:15:31;Aus Standbymodus aufgeweckt;;
2018-10-06 19:20:14;In Standbymodus versetzt;Application API;
2018-10-06 21:43:02;Aus Standbymodus aufgeweckt;;
2018-10-06 21:43:17;In Standbymodus versetzt;Application API;
2018-10-07 06:49:44;Aus Standbymodus aufgeweckt;;
2018-10-07 07:11:15;In Standbymodus versetzt;Application API;
2018-10-07 10:13:07;Aus Standbymodus aufgeweckt;;
2018-10-07 10:46:26;In Standbymodus versetzt;Application API;
2018-10-07 11:02:48;Aus Standbymodus aufgeweckt;;
2018-10-07 11:18:18;In Standbymodus versetzt;Application API;
2018-10-07 12:21:52;Aus Standbymodus aufgeweckt;;
2018-10-07 12:24:11;In Standbymodus versetzt;System idle;
2018-10-07 12:24:36;Aus Standbymodus aufgeweckt;;
2018-10-07 12:28:05;In Standbymodus versetzt;System idle;
2018-10-07 12:29:18;Aus Standbymodus aufgeweckt;;
